url,title,category1
https://galhever.medium.com/how-to-build-lambda-function-with-sam-51cf9835b994,How to Build Lambda Function with SAM,AWS
https://galhever.medium.com/how-to-create-aws-access-key-6a1a6a19052e,How to Create AWS Access Key?,AWS
https://galhever.medium.com/how-to-deal-with-aws-lambda-errormessage-task-timed-out-after-3-08-seconds-a9fd271028be,How to deal with AWS Lambda ErrorMessage : “ Task timed out after 3.08 seconds”?,AWS
https://galhever.medium.com/dockers-how-to-build-a-dockerfile-tutorial-3-9c40442ad810,Dockers — How to build a Dockerfile — Tutorial 3,Docker
https://galhever.medium.com/docker-basic-actions-and-installation-tutorial-1-447b53523e6b,Docker — Basic Actions and Installation s— Tutorial 1,Docker
https://galhever.medium.com/dockers-build-your-first-image-tutorial-2-32f871927f43,Dockers — Build your first Image — Tutorial 2,Docker
https://galhever.medium.com/automatic-speech-recognition-in-2-mins-read-dc22e828524c,Automatic Speech Recognition — In 2 mins Read,Speech Recognition
https://galhever.medium.com/getting-started-with-nvidia-nemo-asr-1dc9dc09cecb, Getting Started with NVIDIA NeMo ASR,Speech Recognition
https://galhever.medium.com/nemo-toolkit-in-different-languages-a1653159e9d2,NeMo Toolkit in Different Languages,Speech Recognition
https://galhever.medium.com/flask-quick-start-5f5a33b8a615,Flask — QuickStart,Web Applications
https://galhever.medium.com/a-short-review-on-relation-extraction-task-94ec6da05d78,A Short Review on Relation Extraction Task,NLP
https://galhever.medium.com/so-lets-bert-b200052482ba,"So, Let’s BERT!",NLP
https://galhever.medium.com/latest-relation-extraction-models-e338be4f05a1,Latest Relation Extraction Models,NLP
https://galhever.medium.com/a-review-to-co-reference-resolution-models-f44b4360a00,Coreference Resolution Models,NLP
https://galhever.medium.com/a-friendly-pytorch-guide-for-beginners-160a626cfffa,A Friendly PyTorch Guide for Beginners!,PyTorch
https://galhever.medium.com/a-quick-review-of-coreference-resolution-task-14358f27b931,A Quick Review of Coreference Resolution Task,NLP
https://galhever.medium.com/how-to-build-and-manage-your-virtual-enviroments-in-python-589a63c9719c,How to Build and Manage Your Virtual Environments with Anaconda,Python
https://galhever.medium.com/neural-machine-translation-with-transformers-69d4bf918299,Neural Machine Translation with Transformers,NLP
https://galhever.medium.com/nni-an-automl-toolkit-e0e4234ebf12,NNI — An AutoML Toolkit,AutoML
